"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
25.69,27.07,165,1,80.73,37.23,"Gamma","ui","alta","rolled_back"
8.43,26.39,124,1,80.81,11.25,"Gamma","auth","baja","success"
12.88,16.89,144,3,88.89,11.37,"Delta","database","baja","success"
5.29,15.01,139,0,69.1,4.27,"Gamma","analytics","media","failed"
11.68,18.68,154,1,69.14,4.26,"Gamma","auth","alta","success"
7.84,31.35,151,2,80.79,37.13,"Gamma","api","baja","failed"
33.55,52.4,154,4,79.05,25.24,"Gamma","database","baja","failed"
12.01,6.03,162,0,77.84,6.02,"Delta","database","baja","success"
5.39,16.75,135,1,90.69,22.69,"Beta","analytics","alta","success"
3.93,27.78,135,2,83.29,14.19,"Delta","ui","media","success"
25.06,24.53,164,1,91.95,12.91,"Gamma","api","baja","failed"
21.43,61.22,146,2,68.25,20.82,"Gamma","api","alta","success"
20.44,28.77,164,1,58.69,17.77,"Delta","api","media","success"
16.6,18.59,181,5,72.01,9.86,"Beta","database","baja","success"
21.3,40.37,164,3,87.87,15.63,"Gamma","ui","baja","success"
6.89,7.51,145,4,61.2,108.14,"Alpha","api","media","success"
10.19,13.43,145,3,72.78,3.94,"Gamma","auth","alta","success"
32.49,3.81,152,2,66.44,10.67,"Delta","analytics","baja","success"
29.84,4.93,166,3,73.8,21.73,"Beta","ui","baja","failed"
15.49,8.32,139,0,86.55,23.57,"Alpha","api","media","success"
15.01,20.99,136,1,64.13,98.45,"Gamma","analytics","alta","success"
9.58,23.09,131,3,72.77,3.24,"Beta","ui","baja","success"
2.45,31.06,141,4,74.03,1.41,"Beta","auth","media","failed"
6.12,18.39,162,1,66.49,77.61,"Delta","analytics","alta","success"
16.36,13.12,157,8,72.99,21.84,"Beta","api","alta","success"
18.69,7.39,125,4,80.16,10.66,"Alpha","api","media","success"
22.02,8.27,143,4,88.03,21.12,"Alpha","database","media","success"
8.15,48.05,163,1,94.7,61.41,"Alpha","auth","alta","rolled_back"
7.55,44.04,165,0,76.05,4.37,"Alpha","auth","baja","rolled_back"
7.07,7.99,157,2,81.43,49.1,"Beta","api","baja","success"
17.51,6.67,134,2,77.26,32.76,"Alpha","api","media","success"
10.12,9.47,141,1,76.99,45.6,"Beta","database","baja","success"
14.18,31.68,154,2,81.06,4.9,"Gamma","ui","baja","success"
9.81,7.47,160,2,64.79,1.95,"Delta","analytics","baja","success"
13.8,8.05,172,1,58.2,36.56,"Gamma","ui","alta","success"
4.15,3.29,147,2,53.34,1.98,"Gamma","auth","baja","success"
16.16,4.89,139,4,86.99,7.96,"Alpha","database","alta","success"
6.91,3.38,148,1,76.02,23.03,"Beta","analytics","crítica","failed"
